Week;El_App_WT
4550;39.50843
4551;41.08130
4552;38.76814
4553;17.70388
4554;10.60542
4555;9.47587
4556;12.49138
4557;18.58885
4558;19.59407
4559;15.81375
4560;18.47403
4561;32.54476
4562;28.91602
4563;32.58022
4564;26.31315
4565;7.42248
4566;11.66188
4567;10.87768
4568;17.81904
4569;7.18523
4570;10.96492
4571;18.98941
4572;12.84012
4573;10.14478
4574;11.21677
4575;22.90912
4576;32.12655
4577;32.00428
4578;42.96549
4579;47.38223
4580;61.86731
4581;39.75723
4582;48.96388
4583;38.61848
4584;42.80508
4585;50.18432
4586;52.63268
4587;50.03965
4588;34.55885
4589;34.26912
4590;35.16421
4591;41.54710
4592;42.96942
4593;54.30383
4594;68.39986
4595;55.57022
4596;43.27028
4597;52.03531
4598;60.40082
4599;87.17176
4600;91.75221
4601;101.53481
4602;106.62943
4603;103.77113
4604;112.25569
4605;130.05893
4606;137.80063
4607;129.11078
4608;128.99706
4609;135.42336
4610;115.92795
4611;119.15962
4612;118.41952
4613;117.70203
4614;128.61717
4615;142.18325
4616;154.04873
4617;137.93244
4618;129.76084
4619;147.05588
4620;141.02736
4621;141.03540
4622;149.05151
4623;131.11094
4624;151.48650
4625;154.49532
4626;164.53426
4627;171.43842
4628;154.12619
4629;148.30024
4630;139.08182
4631;127.18352
4632;140.46772
4633;138.74895
4634;133.99737
4635;124.03262
4636;126.68551
4637;127.20570
4638;123.22816
4639;125.40969
4640;144.19067
4641;167.09285
4642;178.30942
4643;166.85969
4644;159.60632
4645;156.42285
4646;139.29437
4647;142.69872
4648;148.90638
4649;142.65324
4650;132.92054
4651;138.98214
4652;134.94458
4653;127.76994
4654;134.15888
4655;135.00715
4656;122.25859
4657;122.74737
4658;110.47359
4659;104.96845
4660;80.74754
4661;73.49847
4662;71.17381
4663;60.48062
4664;54.29376
4665;78.12567
4666;68.28889
4667;77.11676
4668;87.53677
4669;87.07877
4670;84.28993
4671;65.30152
4672;29.64284
4673;47.48778
4674;67.88298
4675;59.87883
4676;45.73442
4677;39.04162
4678;41.29070
4679;47.62073
4680;28.62263
4681;27.27112
4682;37.17158
4683;49.88827
4684;47.66625
4685;45.42017
4686;32.88758
4687;26.87615
4688;10.50850
4689;8.03097
4690;8.93940
4691;14.24020
4692;13.21685
4693;24.76500
4694;21.97283
4695;55.36746
4696;61.91703
4697;74.73700
4698;65.67638
4699;49.85812
4700;54.21806
4701;56.70027
4702;64.01712
4703;51.69021
4704;55.21703
4705;22.45050
4706;25.93725
4707;23.48708
4708;23.68181
4709;29.64059
4710;45.77404
4711;41.26059
4712;32.69509
4713;19.15868
4714;23.08522
4715;22.89901
4716;20.02986
4717;17.27920
4718;15.20672
4719;25.26925
4720;23.59984
4721;46.36163
4722;27.40384
4723;13.20515
4724;19.68257
4725;14.16601
4726;20.42803
4727;22.45025
4728;29.51811
4729;32.52784
4730;20.51407
4731;8.21934
4732;10.69724
4733;9.53891
4734;10.23759
4735;16.80861
4736;12.17197
4737;15.20933
4738;8.56958
4739;12.38177
4740;19.27905
4741;29.99007
4742;53.03157
4743;44.99854
4744;40.48246
4745;48.38471
4746;48.04714
4747;61.84237
4748;48.53559
4749;52.44938
4750;56.25436
4751;37.02541
4752;30.75652
4753;30.19767
4754;23.51977
4755;31.27286
4756;39.64982
4757;58.81743
4758;58.03229
4759;53.90356
4760;50.43214
4761;38.90557
4762;31.73524
4763;35.36720
4764;40.67640
4765;35.53489
4766;38.71538
4767;18.56995
4768;7.97153
4769;12.75451
4770;13.07247
4771;26.62189
4772;38.06500
4773;61.34271
4774;54.89441
4775;68.68417
4776;61.97584
4777;66.05721
4778;80.94191
4779;93.03884
4780;94.18173
4781;72.80760
4782;57.92157
4783;48.62054
4784;50.92806
4785;47.33553
4786;56.03976
4787;61.64610
4788;65.64383
4789;64.05237
4790;58.12392
4791;78.32298
4792;82.11641
4793;89.51383
4794;64.46585
4795;56.21985
4796;67.20502
4797;70.85561
4798;62.24984
4799;29.34727
4800;22.87154
4801;13.93393
4802;22.14510
4803;21.65531
4804;23.12181
4805;35.56958
4806;34.61445
4807;21.03219
4808;15.95209
4809;18.50324
4810;29.52152
4811;28.11075
4812;33.96916
4813;40.67961
4814;19.74506
4815;19.71560
4816;23.06819
4817;17.10449
4818;12.93155
4819;13.87556
4820;8.35649
4821;13.53287
4822;23.30932
4823;27.96953
4824;10.30444
4825;9.02275
4826;11.11747
4827;24.48208
4828;38.42371
4829;24.31189
4830;22.67525
4831;28.77061
4832;11.89666
4833;17.56910
4834;9.46645
4835;15.46089
4836;25.48243
4837;29.26269
4838;19.30114
4839;17.05441
4840;8.79981
4841;10.09482
4842;12.08655
4843;9.46552
4844;17.92565
4845;20.36454
4846;17.67333
4847;22.65396
4848;27.56203
4849;29.67180
4850;30.06400
4851;22.82131
4852;22.51776
4853;15.14140
4854;11.38026
4855;8.47115
4856;10.42866
4857;15.58286
4858;14.81483
4859;12.96150
4860;14.26407
4861;13.76593
4862;8.29742
4863;7.83263
4864;15.66325
4865;15.39069
4866;12.58480
4867;15.20155
4868;20.73580
4869;32.65431
4870;29.38093
4871;20.07984
4872;24.37514
4873;41.99826
4874;45.59021
4875;54.53099
4876;52.73603
4877;46.27521
4878;26.56047
4879;22.38922
4880;17.37739
4881;9.53302
4882;21.43877
4883;26.45527
4884;27.18038
4885;32.42054
4886;17.14663
4887;9.11954
4888;12.13707
4889;13.60620
4890;11.25332
4891;33.72632
4892;26.43689
4893;31.11767
4894;23.42488
4895;44.01505
4896;62.29907
4897;62.68081
4898;52.91148
4899;24.27018
4900;12.93271
4901;15.12079
4902;6.54207
4903;8.16732
4904;14.26127
4905;11.30189
4906;9.49954
4907;13.35532
4908;26.39590
4909;22.82506
4910;9.54391
4911;8.12322
4912;18.00812
4913;22.57415
4914;6.74243
4915;10.51578
4916;20.33399
4917;37.29297
4918;48.10213
4919;54.07465
4920;57.04065
4921;67.95874
